transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,Expense,Educaton,3888,card,Ahmedabad,Movie tickets
T12828,U133,08/05/2022,Expense,rent,649,,Hyderabad,asdfgh
T7403,U091,31-12-23,Income,Freelance,13239,Csh,BAN,Books
T12350,U097,,Expense,Fod,6299,Bank Transfer,AHMEDABAD,Electricity bill
T7495,U088,10/28/2022,Expense,entertainment,2287,CARD,Hyderabad,N/A
T12465,U042,04/11/2024,Expense,Foods,4168,,N/A,test
T4518,U026,08/16/2022,Expense,education,Rs.828,Crd,Lucknow,Uber ride
T9824,U061,2024-12-12,Income,Salary,62061,CRD,AHM,...
T0741,U053,13-03-24,Expense,Utilties,₹5070,upi,KOL,Grocery shopping
T12403,U004,11/10/2023,Income,Others,59543,UPI,LUC,Gym membership
T5282,U016,2022-04-15,Expense,Utilties,999999999,Crd,DEL,
T6861,U112,2021-04-18,Expense,Utility,$4262,upi,AHM,Uber ride
T9446,U006,06/29/2022,Expense,Utlities,5767,Bank Transfer,BANGALORE,
T3016,U099,02/24/2022,Expense,Rentt,23760,CRD,BANGALORE,Electricity bill
T11564,U148,08/28/2023,Expense,Food,898,UPI,LUC,Restaurant dinner
T11382,U111,02-06-23,Income,Freelance,25143,card,CHENNAI,
T3133,U024,17-07-24,Expense,rent,9567,bank transfer,PUNE,ATM withdrawal
T1982,U089,2021-02-27,Income,Others,49683,,lucknow,xyz123
T7154,U039,21-09-2024,Expense,FOOD,222,UPI,Bangalore,misc
T2699,U092,25-02-23,Expense,Travel,₹2553,UPi,LUC,Doctor consultation
T5774,U005,2021-02-14,Expense,food,7406,card,BANGALORE,xyz123
T12850,U076,06/09/2021,Expense,rent,3010,UPI,KOL,N/A
T5770,U107,,Expense,health,4846,Csh,CHE,Books
T6195,U038,20-11-2024,Income,Salary,855881,BankTransfer,Jaipur,
T12096,U075,,Expense,Food,4452,card,BAN,
T5731,U027,2023-02-04,Expense,Foods,2206,Bank_Transfer,N/A,xyz123
T0909,U013,2024-04-20,Expense,Entertainment,7038,card,JAI,Gym membership
T7565,U075,24-01-22,Expense,Travl,4286,BankTransfer,hyderabad,N/A
T1653,U099,2024-12-16,Expense,education,8119,CARD,Hyderabad,Books
T6239,U150,28-12-21,Expense,education,₹4189,Card,Bangalore,Uber ride
T2849,U150,2022-10-10,Income,Investment,19947,Bank Transfr,LUCKNOW,Coffee
T3127,U023,2021-05-22,Expense,FOOD,5107 INR,upi,N/A,Shopping
T4949,U101,03-01-23,Expense,Foodd,3865,BankTransfer,JAI,
T3563,U007,05-05-21,Expense,Travel,2407,CRD,CHE,Internet bill
T10891,U055,09/08/2024,Expense,Food,3085,CARD,JAIPUR,Electricity bill
T10872,U080,2023-02-22,Expense,HEALTH,5252,,Delhi,Online course
T6786,U017,12/15/2022,Expense,rent,1380 INR,Bank Transfr,hyderabad,Train ticket
T3396,U136,22-09-2021,Expense,RENT,$7619,csh,pune,Movie tickets
T1215,U150,29-12-23,Expense,Others,4823,Cash,Ahmedabad,...
T5293,U044,23-02-21,Expense,Helth,8497,,KOLKATA,Gym membership
T12220,U122,11/14/2023,Expense,Foods,999999,UPi,LUC,
T2003,U149,04/15/2021,Expense,Travel,8241,upi,,Movie tickets
T9452,U062,24-09-23,Expense,rent,8579,bank transfer,AHMEDABAD,...
T4924,U082,05/25/2022,Expense,Foods,235,card,CHENNAI,ATM withdrawal
T11911,U069,22-06-2023,Expense,Foodd,1263,upi,lucknow,
T11270,U022,2023-08-09,Expense,HEALTH,2134,Bank Transfr,JAI,Books
T13032,U150,06/19/2021,Expense,Education,2228,Cash,DELHI,Movie tickets
T6095,U110,2024-01-11,Expense,RENT,4641 INR,BankTransfer,delhi,ATM withdrawal
T0361,U055,2023-08-16,Expense,utilities,1081,CRD,PUNE,
T7314,U103,26-02-2022,Expense,entertainment,371,Csh,MUM,Uber ride
T11430,U108,07/10/2021,Expense,Food,225,Crd,Pune,!!!
T12663,U052,04/15/2023,Expense,Rent,23776,Upi,Bangalore,Doctor consultation
T6106,U008,23-04-23,Expense,HEALTH,6707,card,DELHI,
T9628,U096,22-03-24,Expense,Fod,$8380,Bank Transfer,hyderabad,
T1623,U017,04/10/2021,Expense,Utlities,601,bank transfer,JAIPUR,Medicine
T13765,U034,09/05/2024,Expense,Others,3219,csh,hyderabad,Internet bill
T10347,U017,,Expense,Rnt,8182,csh,,test
T5930,U011,04/21/2024,Expense,savings,8111,,DEL,Grocery shopping
T1627,U069,04/18/2022,Expense,Utilties,Rs.5554,Bank Transfer,HYDERABAD,EMI payment
T4242,U053,2024-08-15,Income,Salary,₹41573,Bank Transfr,mumbai,Coffee
T12437,U004,12-01-2024,Expense,EDU,3110,BankTransfer,chennai,Doctor consultation
T8670,U030,25-07-24,Expense,Foodd,4277,Crd,PUNE,Train ticket
T11341,U127,17-01-24,Expense,Foods,3047,CRD,Mumbai,Grocery shopping
T9556,U008,2024-06-27,Income,Freelance,10183,,DELHI,
T2449,U028,04/16/2022,Expense,Travel,9888,bank transfer,DEL,Shopping
T4357,U088,07/03/2024,Expense,Rentt,7217,cash,DELHI,Internet bill
T0815,U141,2021-10-05,Expense,Education,9725,Bank Transfr,CHE,Restaurant dinner
T7919,U086,2023-05-27,Expense,entertainment,9648,Bank Transfr,kolkata,!!!
T5695,U061,2023-10-22,Expense,Traval,1643,CARD,Mumbai,Petrol
T2471,U066,12/23/2021,Expense,Education,7397 INR,Csh,DEL,test
T3475,U046,2022-12-10,Income,Freelance,70075,Upi,Kolkata,Gym membership
T5875,U081,2021-10-31,Expense,Foods,Rs.864,Bank Transfr,Mumbai,Shopping
T10128,U104,2024-09-06,Expense,,6228,Cash,hyderabad,
T3491,U061,04/10/2024,Expense,Educaton,1206,cash,Ahmedabad,Shopping
T2225,U028,2023-07-06,Expense,Education,8204,CRD,,!!!
T6946,U068,06/23/2024,Expense,EDU,Rs.5756,UPI,HYDERABAD,xyz123
T2022,U056,12/20/2021,Expense,food,₹5576,BankTransfer,DEL,Medicine
T13529,U123,2021-11-05,Expense,health,9771,Bank_Transfer,Pune,Petrol
T12210,U118,2022-01-25,Expense,Rentt,20509,Bank Transfr,bangalore,Train ticket
T6904,U063,2024-09-13,Income,Bonus,62193,Upi,CHE,Electricity bill
T0713,U055,2023-08-22,Expense,Utility,3367,Bank_Transfer,Ahmedabad,Monthly rent payment
T7323,U009,2024-05-13,Expense,health,2721,Upi,BANGALORE,EMI payment
T10231,U089,02/13/2023,Expense,rent,2962,Upi,ahmedabad,Books
T11570,U052,2022-09-23,Expense,travel,8283,card,AHMEDABAD,...
T13926,U134,2024-09-16,Expense,Utilities,3520,csh,MUMBAI,test
T0884,U115,04/07/2024,Expense,Travel,5524,Bank Transfer,Hyderabad,Fixed deposit
T5033,U119,2021-12-18,Expense,Traval,₹999999,upi,pune,Lunch
T8492,U101,11/14/2024,Expense,Entertainment,1800,Bank Transfer,ahmedabad,Internet bill
T4699,U090,08/07/2023,Income,Investment,₹32146,CASH,Delhi,ATM withdrawal
T1841,U097,03/10/2021,Income,Others,57173,Cash,,
T3041,U018,2021-07-11,Expense,Rnt,2966,Cash,bangalore,EMI payment
T7693,U116,31-08-24,Expense,Entertain,1004,Bank Transfer,KOLKATA,
T0071,U078,2024-04-26,Expense,Rnt,₹6141,csh,Pune,
T12197,U026,04/18/2022,Expense,Travel,9154,Crd,DELHI,...
T8563,U080,12/29/2024,Expense,travel,Rs.9705,CASH,,misc
T6626,U049,2022-08-14,Expense,Food,2637,Cash,jaipur,Fixed deposit
T7302,U102,09/19/2024,Expense,FOOD,1073,CRD,lucknow,
T6588,U125,,Expense,Foods,425,BankTransfer,JAI,Petrol
T3552,U095,2024-01-21,Income,Bonus,34145,Bank Transfer,HYDERABAD,!!!
T1620,U040,08/30/2024,Expense,Utilties,527,Cash,MUM,
T7912,U115,06/15/2022,Expense,Saving,5195,UPi,LUC,Grocery shopping
T3571,U064,2024-10-05,Expense,Entrtnmnt,3143,Upi,CHENNAI,Books
T10957,U081,08/06/2023,Expense,travel,2135,CASH,Lucknow,Medicine
T0294,U080,25-12-24,Expense,Foodd,2163,Upi,mumbai,Doctor consultation
T9414,U149,06/09/2024,Expense,Rentt,42078,UPI,Kolkata,
T10537,U079,08-01-2023,Expense,Foods,2778,UPi,Ahmedabad,...
T1125,U105,2024-11-22,Expense,HEALTH,3929,CRD,,Shopping
T8978,U103,05-10-2024,Income,Freelance,23852,Crd,LUC,Coffee
T5936,U022,2021-06-13,Expense,,₹6856,,Chennai,Shopping
T3751,U103,2024-05-31,Income,Bonus,49639,,hyderabad,Online course
T0626,U122,19-08-2024,Expense,education,3150,BankTransfer,CHE,Coffee
T9500,U090,2022-06-07,Expense,Helth,9408,cash,hyderabad,Electricity bill
T1537,U056,06/25/2022,Expense,Entertain,4114,Upi,Delhi,Fixed deposit
T9185,U117,12/12/2022,Income,Bonus,Rs.14249,Bank Transfr,LUCKNOW,
T7093,U096,2023-03-29,Expense,TRAVEL,9681,Upi,delhi,Online course
T1990,U121,29-03-22,Expense,travel,3011,CRD,Kolkata,Grocery shopping
T4706,U150,06/13/2024,Expense,health,3150,UPi,Jaipur,N/A
T8416,U133,05/05/2023,Income,Bonus,32789,csh,bangalore,Lunch
T11932,U100,2023-02-10,Expense,Utility,6704,UPI,MUM,Doctor consultation
T4683,U062,2022-08-27,Expense,Travel,Rs.4427,Card,Chennai,Gym membership
T10528,U071,27-11-21,Expense,entertainment,3121,Bank_Transfer,PUNE,Grocery shopping
T10806,U149,05/19/2024,Expense,FOOD,3802,Upi,Jaipur,Petrol
T10505,U099,03/06/2021,Expense,Education,544,upi,Ahmedabad,Lunch
T13682,U145,03/09/2023,Expense,Travel,9053,,LUCKNOW,...
T12807,U029,2021-06-05,Income,Freelance,32381,Bank Transfer,chennai,...
T6557,U007,28-01-23,Expense,Travel,Rs.8305,UPi,pune,test
T0409,U137,2021-02-08,Expense,Utility,8841,,mumbai,
T10784,U022,04/30/2021,Income,Investment,46219,CRD,Lucknow,N/A
T2457,U054,03-10-21,Expense,Traval,9800 INR,Cash,Mumbai,misc
T12395,U062,04/10/2021,Expense,Utilties,4451,Bank Transfer,MUMBAI,...
T1882,U101,09/25/2022,Expense,Education,9358,CRD,mumbai,
T13924,U035,08/24/2021,Expense,RENT,3569,cash,jaipur,Online course
T13453,U110,2024-11-05,Expense,Rnt,2979,cash,HYD,Medicine
T9836,U058,2024-09-11,Expense,Travel,$1863,Bank_Transfer,hyderabad,Lunch
T13845,U066,06/24/2022,Expense,Rent,34984,UPi,chennai,Petrol
T11381,U107,05/12/2024,Income,Investment,44031,Bank Transfr,HYD,Online course
T5758,U049,08-04-2023,Expense,Rentt,₹21771,upi,chennai,
T12059,U077,12/11/2021,Income,Salary,$24920,upi,chennai,Online course
T8889,U131,01-07-21,Expense,SAVINGS,8861,Bank Transfr,PUNE,...
T10327,U136,25-05-22,Expense,health,₹4201,Bank_Transfer,KOL,Online course
T4967,U113,2022-02-17,Expense,Rentt,47473,BankTransfer,hyderabad,Online course
T11849,U040,12/06/2021,Income,Investment,75822,csh,Mumbai,Medicine
T5167,U014,10/26/2021,Expense,food,677,Bank_Transfer,MUMBAI,Medicine
T3952,U120,08/26/2024,Expense,Rent,43252,csh,delhi,test
T5844,U086,2021-04-24,Expense,Food,₹2615,CRD,Lucknow,ATM withdrawal
T13040,U009,06-04-24,Expense,Foods,₹2855,UPI,BAN,misc
T3167,U145,28-11-21,Income,Bonus,57358,cash,Delhi,!!!
T8867,U105,11/14/2022,Expense,,6348,CRD,mumbai,Medicine
T5926,U016,13-07-24,Expense,RENT,4583,Bank_Transfer,,Lunch
T13662,U129,10/18/2021,Expense,Misc,4952,cash,HYDERABAD,ATM withdrawal
T13593,U018,03-11-24,Expense,others,3941,bank transfer,MUMBAI,Lunch
T12216,U116,21-04-23,Income,Others,47262,BankTransfer,KOL,
T8335,U001,19-06-21,Expense,Entertain,1998,upi,Lucknow,Internet bill
T4933,U018,03/17/2021,Expense,food,₹8124,,PUNE,Coffee
T7036,U105,01-12-21,Expense,Travel,1326,Card,,asdfgh
T9072,U066,09/26/2024,Expense,savings,₹4328,Upi,MUMBAI,Medicine
T8270,U081,04-04-2023,Expense,Foodd,276,Bank_Transfer,Pune,Restaurant dinner
T12265,U094,2022-04-02,Expense,Utlities,₹4215,Crd,hyderabad,ATM withdrawal
T4637,U005,11/04/2023,Expense,Utlities,₹6316,UPi,PUN,ATM withdrawal
T9022,U089,2024-03-10,Expense,Rentt,21376,UPI,CHE,test
T7016,U145,2021-01-09,Expense,Utility,7391,cash,hyderabad,Uber ride
T12109,U144,05/31/2023,Expense,Travel,2990,upi,MUM,Train ticket
T9952,U045,2022-12-24,Expense,Utility,2230,,delhi,ATM withdrawal
T13401,U064,2021-09-17,Expense,Fod,6197,upi,N/A,xyz123
T11100,U142,06-05-2021,Expense,food,6502,card,jaipur,Shopping
T4072,U067,07-11-21,Expense,,6902,Crd,DELHI,Petrol
T8303,U091,05-05-24,Expense,Food,,Bank Transfr,KOL,xyz123
T9115,U060,21-04-22,Expense,Entertainment,9939,Bank Transfer,pune,
T2668,U126,12/30/2022,Expense,RENT,1518,Bank Transfer,LUC,Electricity bill
T1256,U035,06-03-2021,Expense,Traval,2985,csh,Delhi,Restaurant dinner
T7219,U002,2024-06-28,Expense,Educaton,3150,Bank Transfr,ahmedabad,
T7845,U014,27-12-2024,Expense,utilities,6671,UPi,ahmedabad,Doctor consultation
T4986,U124,2023-07-04,Expense,Traval,1409,upi,chennai,xyz123
T1883,U047,07/20/2024,Expense,EDU,2497,Bank Transfr,KOL,!!!
T7034,U108,03/24/2021,Expense,Utility,6324,Crd,Chennai,Gym membership
T11835,U125,04-12-22,Expense,education,$7315,Bank Transfr,jaipur,N/A
T0231,U031,02/08/2023,Expense,Utlities,7080,Bank_Transfer,kolkata,test
T2017,U090,2022-01-14,Expense,Utility,7821,CASH,PUN,test
T9479,U114,2021-08-14,Expense,rent,₹988,upi,,Restaurant dinner
T1312,U070,12/15/2022,Income,Freelance,23504,bank transfer,HYDERABAD,Electricity bill
T0010,U017,04/19/2024,Expense,,1064,csh,AHM,Books
T11433,U083,10/12/2021,Expense,food,2683,Csh,DELHI,xyz123
T4446,U017,11/30/2023,Expense,food,5022,Cash,Hyderabad,Internet bill
T2782,U093,2021-04-01,Expense,FOOD,₹7849,,Pune,Petrol
T11291,U040,2024-06-10,Income,Bonus,33565,Csh,HYDERABAD,Gym membership
T6224,U092,11/04/2024,Income,Salary,66678,Bank Transfr,Chennai,EMI payment
T4124,U119,03-05-2024,Expense,education,6304,UPI,PUNE,Fixed deposit
T10115,U091,23-02-2022,Income,Freelance,50009,Bank Transfer,PUNE,
T3531,U134,08-07-21,Expense,food,5811,Bank Transfer,Pune,
T1066,U057,2023-02-05,Expense,Entertainment,₹7713,upi,pune,Monthly rent payment
T9037,U142,12/19/2022,Income,Salary,70693,csh,AHMEDABAD,
T12498,U012,20-03-24,Expense,Helth,2603,cash,Kolkata,Monthly rent payment
T6556,U037,12/22/2023,Expense,Foods,314,CASH,MUM,Train ticket
T4233,U089,2024-10-30,Expense,Education,9806,Bank_Transfer,CHENNAI,Petrol
T1925,U060,2023-02-04,Expense,Foodd,3762,BankTransfer,HYD,
T9678,U092,03/15/2021,Expense,travel,9891,UPi,,Grocery shopping
T3468,U143,08/09/2024,Expense,Health,6869,Crd,Jaipur,asdfgh
T2217,U113,2023-04-02,Expense,Rnt,$6756,Bank_Transfer,PUN,
T7901,U028,2021-09-07,Expense,entertainment,356,BankTransfer,jaipur,
T9324,U093,2021-10-03,Income,Others,20156,cash,Pune,
T6515,U121,2024-03-16,Expense,health,$3790,Crd,AHM,...
T3401,U071,10-07-2021,Expense,,6766,CARD,BANGALORE,Gym membership
T2246,U061,04-01-21,Expense,Foods,3765,bank transfer,Chennai,Fixed deposit
T10375,U013,2023-08-06,Income,Freelance,,Bank Transfer,DELHI,Electricity bill
T7960,U028,25-07-21,Expense,Entertainment,4638,card,N/A,!!!
T13793,U141,09/23/2021,Income,Freelance,11650,csh,HYD,!!!
T7316,U144,22-02-24,Expense,Utilties,5790,,PUN,misc
T4875,U076,06/16/2024,Expense,Rentt,12435,UPi,Lucknow,
T1216,U042,31-01-22,Income,Investment,31183,Bank Transfer,Jaipur,Shopping
T11898,U035,2023-04-13,Expense,Food,775,UPi,,Monthly rent payment
T3071,U139,11/03/2021,Expense,entertainment,$8230,Bank_Transfer,lucknow,EMI payment
T12468,U043,12/14/2024,Expense,Rnt,₹5582,UPI,AHMEDABAD,Monthly rent payment
T5511,U114,04/20/2024,Expense,Fod,5918,bank transfer,Pune,
T5607,U093,02/05/2024,Income,Investment,73830,UPi,PUNE,xyz123
T9770,U040,02/21/2021,Expense,Rent,23340,CRD,lucknow,Doctor consultation
T11278,U009,2022-07-19,Expense,Rentt,40813,Upi,delhi,Books
T10427,U077,2024-12-31,Expense,Utlities,₹3414,Upi,pune,test
T1377,U044,31-03-22,Expense,Food,2033,UPI,MUMBAI,EMI payment
T2469,U038,11/30/2023,Income,Bonus,44932,Bank Transfr,KOL,Lunch
T6621,U104,14-08-22,Expense,FOOD,999999,CASH,Jaipur,xyz123
T7679,U079,2024-05-03,Expense,Education,₹2274,cash,HYDERABAD,Grocery shopping
T8635,U039,28-02-2023,Expense,travel,330,Bank Transfer,chennai,
T4874,U123,2024-12-30,Expense,travel,8592,Csh,PUN,Lunch
T3143,U025,2023-05-01,Expense,rent,Rs.6779,csh,Delhi,Monthly rent payment
T13475,U033,01-12-22,Income,Investment,29235,bank transfer,,xyz123
T8560,U023,04/02/2023,Expense,Health,2143,Card,delhi,asdfgh
T8417,U089,2022-05-17,Expense,Foods,4945,CRD,ahmedabad,test
T8379,U106,16-10-21,Expense,Entertainment,8152,Upi,DELHI,Uber ride
T13913,U006,12/07/2022,Expense,Other,7300,Bank_Transfer,pune,!!!
T11359,U135,04-06-24,Expense,Foods,4603,bank transfer,AHMEDABAD,EMI payment
T8916,U035,2022-10-13,Expense,Entrtnmnt,$4719,card,MUM,Coffee
T5752,U112,12-05-22,Expense,Rent,27792,bank transfer,PUN,Doctor consultation
T11316,U053,06-10-2022,Expense,TRAVEL,6691,card,HYD,Doctor consultation
T4377,U065,2022-04-05,Expense,RENT,5935,Bank Transfr,HYD,Coffee
T10191,U150,02/26/2024,Expense,TRAVEL,₹9750,UPI,mumbai,ATM withdrawal
T10267,U128,2021-10-19,Expense,RENT,6484,Upi,JAI,Fixed deposit
T10019,U029,18-02-2024,Expense,entertainment,2398,bank transfer,LUC,Medicine
T1053,U081,25-08-2021,Expense,Food,₹498,Csh,delhi,Coffee
T2960,U124,2022-09-05,Expense,Rent,Rs.35588,CASH,JAIPUR,Grocery shopping
T5402,U053,2021-11-02,Income,Others,$13131,CARD,Lucknow,Fixed deposit
T1989,U027,06/08/2024,Expense,Health,$6321,Cash,AHM,ATM withdrawal
T7284,U114,08/30/2023,Expense,Rent,28207,BankTransfer,,Fixed deposit
T11284,U125,24-06-2023,Expense,TRAVEL,,Crd,CHE,Train ticket
T1195,U102,08-06-23,Expense,Rentt,10749,Cash,lucknow,Uber ride
T6008,U053,2023-05-21,Expense,Foodd,2232,,PUN,Books
T11465,U149,03/30/2022,Expense,SAVINGS,8161,CARD,Bangalore,Restaurant dinner
T8940,U088,2024-11-05,Expense,,3825,CASH,Bangalore,
T2577,U075,2022-07-13,Expense,Utilities,4923,bank transfer,MUMBAI,
T6064,U104,2023-11-04,Expense,Food,Rs.1078,Bank_Transfer,DELHI,
T1619,U053,16-02-21,Income,Investment,₹74630,BankTransfer,AHM,
T1405,U109,02-12-2022,Income,Freelance,14180,Cash,mumbai,Online course
T0352,U149,11-08-2024,Expense,utilities,8479,UPi,Bangalore,Monthly rent payment
T5467,U104,2023-11-05,Expense,food,5292,Bank_Transfer,hyderabad,Gym membership
T10397,U013,10/20/2022,Expense,TRAVEL,3942,Bank_Transfer,Lucknow,!!!
T3306,U065,2022-07-22,Expense,entertainment,2923 INR,Bank Transfer,Delhi,Doctor consultation
T12923,U075,09/01/2023,Expense,entertainment,8943,Crd,Pune,Monthly rent payment
T2497,U149,22-11-2022,Expense,utilities,3159,CARD,DELHI,ATM withdrawal
T12309,U024,18-12-2023,Expense,Rent,12484,CRD,BAN,
T6608,U081,04-06-23,Expense,rent,4331,Csh,HYDERABAD,Train ticket
T4870,U014,2024-10-04,Expense,Rnt,9348,bank transfer,JAIPUR,N/A
