transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T03512,U039,December 22 2021,Expense,Rent,998,Cash,Pune,Paid electricity bill 
T03261,U179,03/24/2022,Expense,Food,$143,Card,Delhi,Grocery shopping
T04316,U143,October 18 2022,Expense,Rent,149,Cash,Bengaluru,
T05649,U079,12/12/2021,Expense,Rent,49,UPI,,Paid electricity bill
T14750,U020,,Income,Other Income,"83,802",Bank Transfer,Chennai,Gift via app
T04246,U188,12-07-22,Expense,Entertainment,208,UPI,Hyderabad,Monthly rent
T01814,U150,September 12 2019,Expense,Savings,681,Cash,Kolkata,Salary
T06293,U014,2022-01-06,Expense,Rent,"2,524",Bank Transfer,,Salary
T07930,U138,04-11-22,Expense,Education,93,Bank Transfer,Pune,hZtATyn1UX55solCMr1
T04656,U112,February 03 2021,Expense,Food,323,UPI,Ahmedabad,Monthly rent
T11712,U117,02-11-22,Expense,Others,662,UPI,Chennai,Salary cash
T00308,U009,11/21/2022,Expense,Food,"1,019",UPI,Kolkata,
T01783,U092,12/29/2022,Expense,Entertainmennt,203,Bank Transfer,jaipur,Course fee 
T09558,U082,2020-10-26,Income,Salaryy,"59,149",Bank Transfer,Chennai,Netflix subscription
T09993,U148,2021-05-25,Income,Other Income,"78,744",Bank Transfer,,Doctor visit
T02596,U050,March 03 2021,Income,Other Income,"58,874",Card,Bengaluru,Salary
T05569,U049,2021-09-24,Expense,Food,258,Bank Transfer,Lucknow,Dinner at resto
T10777,U044,2022-07-02,Expense,Travel,336,UPI,Kolkata,Uber to office
T11684,U114,January 20 2022,Expense,Food,₹383,Bank Transfer,Hyderabad,Grocery shopping
T14503,U119,03/08/2022,Expense,Savings,93,Card,Ahmedabad,
T11737,U059,2021-04-16,Expense,Food,82,Cash,Lucknow,
T08540,U095,2021-06-26,Expense,Food,"1,761",Cash,Hyderabad,wkAdxBaz8rnYSOE
T11492,U149,December 28 2020,Expense,Rent,"1,580",UPI,Lucknow,Uber to office
T10632,U157,19-11-21,Expense,Reent,856,UPI,Mumbai,Paid electricity bill 
T02786,U150,22-10-19,Expense,Rent,$46,Cash,Hyderabad,
T14674,U158,2022-04-17,Income,Bonus,"35,621",Card,Pune,Uber to office
T06474,U136,04/24/2019,Expense,Rent,490,Bank Transfer,Mumbai,Doctor visit
T05913,U070,2020-07-13,Expense,Food,"1,096",UPI,,Uber to office
T02520,U088,January 01 2021,Expense,Health,193,Bank Transfer,Ahmedabad,Netflix subscription
